CODIGO,NOMBRE,DEPARTAMENTO_CENTRO,MUNICIPIO_CENTRO,SECTOR,ZONA,Total matricula inicial
13001,"CENTRO ESCOLAR ""COLONIA SAN FRANCISCO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,521
13002,"CENTRO ESCOLAR ""CIUDAD MARTELL",,,,,
13003,"ESCUELA DE EDUCACION PARVULARIA ""JOYA DE CEREN """,LA LIBERTAD,SAN JUAN OPICO,PUBLICO,Rural,71
13004,"ESCUELA DE EDUCACION PARVULARIA ""SAN JOSE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,35
13005,"CENTRO ESCOLAR ""COLONIAL RIO GRANDE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,614
13006,"CENTRO ESCOLAR ""CASERIO EL CIPRES",,,,,
13007,"CENTRO ESCOLAR ""COLONIA 15 DE SEPTIEMBRE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,363
13008,"CENTRO ESCOLAR ""CASERIO CHAPARRASTIQUE",,,,,
13009,"CENTRO ESCOLAR ""CASERIO EL CEDRAL",,,,,
13012,"CENTRO ESCOLAR ""ASENTAMIENTO SAN JACINTO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,48
13013,CENTRO ESCOLAR HACIENDA EL GUAYABAL,,,,,
13014,"CENTRO ESCOLAR ""COLONIA SAN JOSE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,408
13015,"CENTRO ESCOLAR ""COLONIA DOLORES""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,88
13016,"ESCUELA DE EDUCACION PARVULARIA ""EL CARRIZAL""",CHALATENANGO,EL CARRIZAL,PUBLICO,Urbana,25
13017,"CENTRO ESCOLAR ""COLONIA CHAPARRASTIQUE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,143
13018,"CENTRO ESCOLAR ""CASERIO LA MASCOTA",,,,,
13019,"ESCUELA DE EDUCACION PARVULARIA ""DE SAN MIGUEL""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,27
13020,"CENTRO ESCOLAR ""CANTON SAN CARLOS""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,165
13021,"CENTRO ESCOLAR ""COLONIA CARRILLO",,,,,
13022,"CENTRO ESCOLAR ""CANTON EL VOLCAN 2 """,SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,245
13023,"CENTRO ESCOLAR ""CASERIO EL ZAPOTAL",,,,,
13025,"CENTRO ESCOLAR ""CASERIO EL ALTO",,,,,
13026,"CENTRO ESCOLAR ""CASERIO ZUNIGA",,,,,
13027,"CENTRO ESCOLAR ""LICENCIADA LESLIE S. VOGEL""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,170
13028,"CENTRO ESCOLAR ""CASERIO EL DIVISADERO",,,,,
13029,"CENTRO ESCOLAR ""CANTON LAS DELICIAS""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,141
13030,"CENTRO ESCOLAR ""CANTON LA PUERTA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,111
13031,"CENTRO ESCOLAR  ""PROFESORA MARIA LAURA ESCOBAR""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,46
13032,"CENTRO ESCOLAR ""CASERIO EL MONO",,,,,
13033,"CENTRO ESCOLAR ""FINCA SANTA ISABEL CANTON EL VOLCAN""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,198
13034,"CENTRO ESCOLAR ""CASERIO EL TULAR",,,,,
13035,"CENTRO ESCOLAR ""CASERIO LAS HOJAS",,,,,
13036,"CENTRO ESCOLAR ""CASERIO EL TAMARINDO",,,,,
13037,"CENTRO ESCOLAR ""CANTON SAN ANTONIO CHAVEZ""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,121
13038,"CENTRO ESCOLAR ""CANTON EL BRAZO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,240
13039,"CENTRO ESCOLAR ""CASERIO LOS RANCHOS",,,,,
13040,"CENTRO ESCOLAR ""CASERIO AGUA ZARCA",,,,,
13041,"CENTRO ESCOLAR ""CANTON HATO NUEVO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,473
13042,CENTRO ESCOLAR  CANTON CONCEPCION COROZAL,SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,86
13043,"CENTRO ESCOLAR ""CANTON SANTA INES""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,94
13044,"CENTRO ESCOLAR ""CASERIO EL SASO",,,,,
13045,"COMPLEJO EDUCATIVO ""FE Y ALEGRIA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,1
13046,"CENTRO ESCOLAR ""CANTON LAS CASITAS""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,90
13047,"CENTRO ESCOLAR ""CANTON SAN JACINTO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,122
13048,"CENTRO ESCOLAR ""SALVADOR MAGAÑA """,SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,240
13049,"CENTRO ESCOLAR ""CANTON EL ZAMORAN""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,252
13050,"CENTRO ESCOLAR ""CANTON LAS MESAS""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,6
13051,"CENTRO ESCOLAR ""CANTON EL REBALSE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,632
13052,"CENTRO ESCOLAR ""CANTON CONCEPCION COROZALITO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,6
13053,"CENTRO ESCOLAR ""CANTON MONTE GRANDE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,547
13054,"CENTRO ESCOLAR ""CASERIO SANTA LUCIA",,,,,
13055,"CENTRO ESCOLAR ""CANTON ANCHICO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,154
13056,"CENTRO ESCOLAR ""MANUEL JOSE ARCE""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,471
13057,"CENTRO ESCOLAR ""CANTON EL TECOMATAL""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,114
13059,"CENTRO ESCOLAR ""CANTON EL PAPALON""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,361
13060,"CENTRO ESCOLAR ""DOCTOR JOSE ANTONIO QUIROZ""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,159
13061,"CENTRO ESCOLAR ""CANTON LAS LOMITAS""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,75
13062,"CENTRO ESCOLAR ""CANTON EL DELIRIO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,245
13063,"CENTRO ESCOLAR ""CANTON HUISCOYOL""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,47
13064,"CENTRO ESCOLAR ""CANTON  EL CERRO BONITO""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,58
13065,"CENTRO ESCOLAR ""CANTON SAN ANDRES""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,177
13066,COMPLEJO EDUCATIVO HACIENDA CANTORA,SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,587
13067,"CENTRO ESCOLAR ""PROFESORA LILIAN ISABEL PEÑA DE ORELLANA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,579
13068,"CENTRO ESCOLAR ""CANTON SAN ANTONIO SILVA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Rural,603
